GEOID,geoid_long,area_name,qname,st_abb,statefp,placefp,tpop,white_nh,black_nh,amind_nh,asian_nh,pacific_nh,other_nh,multi_nh,hispanic
3651000,16000US3651000,New York city,"New York city, New York",ny,36,51000,8419316,2702286,1837549,14463,1176762,2828,70188,167378,2447862
644000,16000US0644000,Los Angeles city,"Los Angeles city, California",ca,6,44000,3966936,1129956,341750,6374,454688,5103,14762,91894,1922409
1714000,16000US1714000,Chicago city,"Chicago city, Illinois",il,17,14000,2709534,901769,790893,2718,177195,448,5865,50479,780167
4835000,16000US4835000,Houston city,"Houston city, Texas",tx,48,35000,2310432,564044,510455,2840,155246,819,5923,32233,1038872
455000,16000US0455000,Phoenix city,"Phoenix city, Arizona",az,4,55000,1633017,694808,109955,26852,59754,3113,3238,39316,695981
4260000,16000US4260000,Philadelphia city,"Philadelphia city, Pennsylvania",pa,42,60000,1579075,544434,644723,3343,113484,395,5622,35216,231858
4865000,16000US4865000,San Antonio city,"San Antonio city, Texas",tx,48,65000,1508083,372200,97168,2357,40972,1159,2182,23333,968712
666000,16000US0666000,San Diego city,"San Diego city, California",ca,6,66000,1409573,602690,85221,3040,231511,5417,3002,51106,427586
4819000,16000US4819000,Dallas city,"Dallas city, Texas",tx,48,19000,1330612,385427,318698,1875,44741,310,2106,21159,556296
668000,16000US0668000,San Jose city,"San Jose city, California",ca,6,68000,1027690,264374,29129,1836,366866,4096,3447,33094,324848
4805000,16000US4805000,Austin city,"Austin city, Texas",tx,48,5000,950807,459086,70618,1776,71576,234,1875,23184,322458
1235000,16000US1235000,Jacksonville city,"Jacksonville city, Florida",fl,12,35000,890467,455798,271378,1698,41889,537,3326,27229,88612
3918000,16000US3918000,Columbus city,"Columbus city, Ohio",oh,39,18000,878553,484365,251543,1522,50900,347,2517,33158,54201
667000,16000US0667000,San Francisco city,"San Francisco city, California",ca,6,67000,874961,354423,43782,1634,298108,2934,3626,37140,133314
4827000,16000US4827000,Fort Worth city,"Fort Worth city, Texas",tx,48,27000,874401,342535,161982,2458,39386,684,1240,19228,306888
1836003,16000US1836003,Indianapolis city (balance),"Indianapolis city (balance), Indiana",in,18,36003,864447,470916,244192,1799,29429,135,2708,24887,90381
3712000,16000US3712000,Charlotte city,"Charlotte city, North Carolina",nc,37,12000,857425,355662,296802,2482,55631,460,3097,20864,122427
5363000,16000US5363000,Seattle city,"Seattle city, Washington",wa,53,63000,724305,462426,51937,3158,110989,1862,1960,43744,48229
820000,16000US0820000,Denver city,"Denver city, Colorado",co,8,20000,705576,382228,62754,3186,25745,884,1203,18639,210937
1150000,16000US1150000,Washington city,"Washington city, District of Columbia",dc,11,50000,692683,253373,314774,1418,27188,307,2807,16625,76191
2507000,16000US2507000,Boston city,"Boston city, Massachusetts",ma,25,7000,684379,304524,155096,1376,65613,365,5278,16370,135757
4824000,16000US4824000,El Paso city,"El Paso city, Texas",tx,48,24000,679813,86791,21844,1716,8889,996,538,5963,553076
2622000,16000US2622000,Detroit city,"Detroit city, Michigan",mi,26,22000,674841,71025,526253,2213,11233,99,1941,10253,51824
4752006,16000US4752006,Nashville-Davidson metropolitan government (balance),"Nashville-Davidson metropolitan government (balance), Tennessee",tn,47,52006,663750,367849,181924,1293,24225,397,2361,16019,69682
4748000,16000US4748000,Memphis city,"Memphis city, Tennessee",tn,47,48000,651932,167450,416108,735,11153,88,1136,8384,46878
4159000,16000US4159000,Portland city,"Portland city, Oregon",or,41,59000,645291,455320,36356,4133,52253,3740,1621,29172,62696
4055000,16000US4055000,Oklahoma City city,"Oklahoma City city, Oklahoma",ok,40,55000,643692,344431,90482,16713,28806,474,1141,34765,126880
3240000,16000US3240000,Las Vegas city,"Las Vegas city, Nevada",nv,32,40000,634773,276153,73918,2402,42474,4801,2457,22722,209846
2148006,16000US2148006,Louisville/Jefferson County metro government (balance),"Louisville/Jefferson County metro government (balance), Kentucky",ky,21,48006,617790,405145,144069,781,16406,334,1646,14671,34738
2404000,16000US2404000,Baltimore city,"Baltimore city, Maryland",md,24,4000,609032,167430,376203,1442,15649,204,2500,13421,32183
5553000,16000US5553000,Milwaukee city,"Milwaukee city, Wisconsin",wi,55,53000,594548,208521,227829,2763,25181,179,977,16281,112817
3502000,16000US3502000,Albuquerque city,"Albuquerque city, New Mexico",nm,35,2000,559374,217745,15468,22250,15619,393,1351,11444,275104
477000,16000US0477000,Tucson city,"Tucson city, Arizona",az,4,77000,541482,237601,25848,10077,16857,1003,701,13277,236118
627000,16000US0627000,Fresno city,"Fresno city, California",ca,6,27000,525010,141390,36978,2522,70550,519,902,11702,260447
664000,16000US0664000,Sacramento city,"Sacramento city, California",ca,6,64000,500930,162471,63831,1876,93132,8580,1906,24552,144582
446000,16000US0446000,Mesa city,"Mesa city, Arizona",az,4,46000,499720,306370,19824,11226,10710,2045,437,10781,138327
1304000,16000US1304000,Atlanta city,"Atlanta city, Georgia",ga,13,4000,488800,187276,246810,728,21536,90,1080,10132,21148
2938000,16000US2938000,Kansas City city,"Kansas City city, Missouri",mo,29,38000,486404,268318,135919,1346,13089,771,769,14439,51753
3137000,16000US3137000,Omaha city,"Omaha city, Nebraska",ne,31,37000,475862,316914,57893,2029,18096,170,876,13716,66168
643000,16000US0643000,Long Beach city,"Long Beach city, California",ca,6,43000,466776,131457,56990,1546,59918,3488,1464,13041,198872
816000,16000US0816000,Colorado Springs city,"Colorado Springs city, Colorado",co,8,16000,464871,319102,28269,1551,13186,1103,1247,18455,81958
3755000,16000US3755000,Raleigh city,"Raleigh city, North Carolina",nc,37,55000,464485,246703,131139,1240,21293,186,1185,10926,51813
1245000,16000US1245000,Miami city,"Miami city, Florida",fl,12,45000,454279,51114,65414,244,4427,33,488,2220,330339
5182000,16000US5182000,Virginia Beach city,"Virginia Beach city, Virginia",va,51,82000,450201,277823,82934,957,29610,361,851,20880,36785
653000,16000US0653000,Oakland city,"Oakland city, California",ca,6,53000,425097,120225,98749,1455,65195,2237,1812,20482,114942
2743000,16000US2743000,Minneapolis city,"Minneapolis city, Minnesota",mn,27,43000,420324,252180,79434,4804,24812,141,1029,17492,40432
4075000,16000US4075000,Tulsa city,"Tulsa city, Oklahoma",ok,40,75000,402324,217072,60492,16547,13461,520,1184,26478,66570
4804000,16000US4804000,Arlington city,"Arlington city, Texas",tx,48,4000,395477,152482,88131,1035,25669,789,1534,8935,116902
2255000,16000US2255000,New Orleans city,"New Orleans city, Louisiana",la,22,55000,390845,119866,230066,564,11287,26,1480,6143,21413
2079000,16000US2079000,Wichita city,"Wichita city, Kansas",ks,20,79000,389877,244678,41388,2297,19511,144,525,14284,67050
1271000,16000US1271000,Tampa city,"Tampa city, Florida",fl,12,71000,387916,172875,85491,720,16435,207,945,9000,102243
3916000,16000US3916000,Cleveland city,"Cleveland city, Ohio",oh,39,16000,385282,130211,185624,684,9768,67,1137,11821,45970
603526,16000US0603526,Bakersfield city,"Bakersfield city, California",ca,6,3526,377917,122899,27336,956,27545,707,649,8051,189774
804000,16000US0804000,Aurora city,"Aurora city, Colorado",co,8,4000,369111,163765,58835,1646,23606,1269,1287,13172,105531
602000,16000US0602000,Anaheim city,"Anaheim city, California",ca,6,2000,349964,84621,8727,575,58028,1304,365,6369,189975
1571550,16000US1571550,Urban Honolulu CDP,"Urban Honolulu CDP, Hawaii",hi,15,71550,348985,53661,6822,347,182349,27384,410,52384,25628
669000,16000US0669000,Santa Ana city,"Santa Ana city, California",ca,6,69000,332794,31150,3223,481,38630,797,557,2498,255458
662000,16000US0662000,Riverside city,"Riverside city, California",ca,6,62000,326414,97325,18825,1089,24090,734,990,8050,175311
4817000,16000US4817000,Corpus Christi city,"Corpus Christi city, Texas",tx,48,17000,325780,96200,12867,670,7182,213,168,2726,205754
7276770,16000US7276770,San Juan zona urbana,"San Juan zona urbana, Puerto Rico",pr,72,76770,323279,4776,615,0,794,0,345,81,316668
2146027,16000US2146027,Lexington-Fayette urban county,"Lexington-Fayette urban county, Kentucky",ky,21,46027,320601,227629,46338,326,12004,65,1231,9945,23063
675000,16000US0675000,Stockton city,"Stockton city, California",ca,6,75000,309228,63697,33393,631,64890,1527,657,12506,131927
2965000,16000US2965000,St. Louis city,"St. Louis city, Missouri",mo,29,65000,308174,134491,142471,611,10278,169,1022,6733,12399
2758000,16000US2758000,St. Paul city,"St. Paul city, Minnesota",mn,27,58000,304547,156607,48134,1956,56744,72,663,12214,28157
4261000,16000US4261000,Pittsburgh city,"Pittsburgh city, Pennsylvania",pa,42,61000,302205,195410,68826,329,17507,76,753,9672,9632
3915000,16000US3915000,Cincinnati city,"Cincinnati city, Ohio",oh,39,15000,301394,145294,126479,214,6568,155,602,10573,11509
3231900,16000US3231900,Henderson city,"Henderson city, Nevada",nv,32,31900,300116,193824,17105,1132,24259,1449,1203,10701,50443
203000,16000US0203000,Anchorage municipality,"Anchorage municipality, Alaska",ak,2,3000,293531,169960,15486,21640,27683,7088,875,23872,26927
3728000,16000US3728000,Greensboro city,"Greensboro city, North Carolina",nc,37,28000,291303,123993,119461,1131,14501,205,1158,7927,22927
4858016,16000US4858016,Plano city,"Plano city, Texas",tx,48,58016,287064,150287,24282,924,60633,322,741,6777,43098
3128000,16000US3128000,Lincoln city,"Lincoln city, Nebraska",ne,31,28000,283839,225965,11820,1471,12974,210,354,9421,21624
3451000,16000US3451000,Newark city,"Newark city, New Jersey",nj,34,51000,281054,30831,135610,536,5161,0,4344,2544,102028
1253000,16000US1253000,Orlando city,"Orlando city, Florida",fl,12,53000,280832,102525,65990,473,11468,26,2247,6429,91674
3977000,16000US3977000,Toledo city,"Toledo city, Ohio",oh,39,77000,276614,162420,74794,538,3529,50,789,10598,23896
636770,16000US0636770,Irvine city,"Irvine city, California",ca,6,36770,273157,110095,4314,326,117195,673,560,11818,28176
3719000,16000US3719000,Durham city,"Durham city, North Carolina",nc,37,19000,269702,106408,102544,583,14351,111,768,7649,37288
613392,16000US0613392,Chula Vista city,"Chula Vista city, California",ca,6,13392,268920,45181,10940,132,42444,1158,713,7671,160681
1825000,16000US1825000,Fort Wayne city,"Fort Wayne city, Indiana",in,18,25000,265752,178127,39377,456,12454,119,377,10513,24329
3436000,16000US3436000,Jersey City city,"Jersey City city, New Jersey",nj,34,36000,261940,57440,55209,598,65203,75,2148,6523,74744
1263000,16000US1263000,St. Petersburg city,"St. Petersburg city, Florida",fl,12,63000,261338,165483,56969,521,8903,107,850,6924,21581
4841464,16000US4841464,Laredo city,"Laredo city, Texas",tx,48,41464,259151,9280,787,90,1313,31,109,395,247146
3611000,16000US3611000,Buffalo city,"Buffalo city, New York",ny,36,11000,256480,110416,91105,995,14955,109,262,7127,31511
5548000,16000US5548000,Madison city,"Madison city, Wisconsin",wi,55,48000,254977,187703,17578,1012,22762,123,220,7814,17765
4845000,16000US4845000,Lubbock city,"Lubbock city, Texas",tx,48,45000,253851,130808,18856,859,6334,200,187,4842,91765
412000,16000US0412000,Chandler city,"Chandler city, Arizona",az,4,12000,252692,147712,13582,3487,26915,263,353,7877,52503
465000,16000US0465000,Scottsdale city,"Scottsdale city, Arizona",az,4,65000,250602,201517,4434,1872,12013,291,284,4572,25619
427820,16000US0427820,Glendale city,"Glendale city, Arizona",az,4,27820,247813,117083,15664,3127,10388,397,453,5984,94717
3260600,16000US3260600,Reno city,"Reno city, Nevada",nv,32,60600,246500,150314,6421,2078,16020,1849,725,8231,60862
5157000,16000US5157000,Norfolk city,"Norfolk city, Virginia",va,51,57000,244601,106261,99087,726,8529,115,742,9469,19672
3775000,16000US3775000,Winston-Salem city,"Winston-Salem city, North Carolina",nc,37,75000,244115,111489,83602,433,6104,128,606,5188,36565
427400,16000US0427400,Gilbert town,"Gilbert town, Arizona",az,4,27400,243254,168771,9093,1653,13618,426,402,7694,41597
3251800,16000US3251800,North Las Vegas city,"North Las Vegas city, Nevada",nv,32,51800,241369,64093,49180,1218,15023,1899,508,10044,99404
5116000,16000US5116000,Chesapeake city,"Chesapeake city, Virginia",va,51,16000,239982,137813,70328,358,7350,140,627,8542,14824
4837000,16000US4837000,Irving city,"Irving city, Texas",tx,48,37000,239783,51683,33095,783,47096,450,1116,4161,101399
4829000,16000US4829000,Garland city,"Garland city, Texas",tx,48,29000,238418,68798,35205,608,26257,54,753,5526,101217
626000,16000US0626000,Fremont city,"Fremont city, California",ca,6,26000,235740,47564,6961,860,139584,1997,716,7709,30349
3254600,16000US3254600,Paradise CDP,"Paradise CDP, Nevada",nv,32,54600,235087,91722,23670,1654,24634,2035,1135,8556,81681
1230000,16000US1230000,Hialeah city,"Hialeah city, Florida",fl,12,30000,234539,6285,1562,17,1295,27,59,343,224951
5103000,16000US5103000,Arlington CDP,"Arlington CDP, Virginia",va,51,3000,233464,143563,20740,554,23824,199,901,7308,36375
5167000,16000US5167000,Richmond city,"Richmond city, Virginia",va,51,67000,226622,92454,105557,280,4732,25,665,7248,15661
1608830,16000US1608830,Boise City city,"Boise City city, Idaho",id,16,8830,226115,188079,3959,763,6359,204,382,6038,20331
2205000,16000US2205000,Baton Rouge city,"Baton Rouge city, Louisiana",la,22,5000,224149,82130,122315,427,7815,150,348,2768,8196
5367000,16000US5367000,Spokane city,"Spokane city, Washington",wa,53,67000,217353,176671,4881,3146,5848,1884,214,10942,13767
665000,16000US0665000,San Bernardino city,"San Bernardino city, California",ca,6,65000,216089,31176,28711,560,8344,575,251,5657,140815
1921000,16000US1921000,Des Moines city,"Des Moines city, Iowa",ia,19,21000,215636,141740,23518,495,13229,100,183,7148,29223
669088,16000US0669088,Santa Clarita city,"Santa Clarita city, California",ca,6,69088,213411,102119,7895,522,23083,174,543,7586,71489
5370000,16000US5370000,Tacoma city,"Tacoma city, Washington",wa,53,70000,212869,124612,21668,2684,18395,2195,646,17153,25516
648354,16000US0648354,Modesto city,"Modesto city, California",ca,6,48354,212616,93871,8744,1093,14623,2202,183,6363,85537
107000,16000US0107000,Birmingham city,"Birmingham city, Alabama",al,1,7000,212297,50508,147777,509,2277,44,188,2795,8199
624680,16000US0624680,Fontana city,"Fontana city, California",ca,6,24680,210759,27170,17795,514,13413,246,547,4361,146713
3722920,16000US3722920,Fayetteville city,"Fayetteville city, North Carolina",nc,37,22920,210432,78908,86306,1873,5757,672,720,10029,26167
654652,16000US0654652,Oxnard city,"Oxnard city, California",ca,6,54652,208154,30149,5081,337,14739,598,277,3761,153212
649270,16000US0649270,Moreno Valley city,"Moreno Valley city, California",ca,6,49270,207289,32596,35395,299,12338,576,505,3825,121755
3268585,16000US3268585,Spring Valley CDP,"Spring Valley CDP, Nevada",nv,32,68585,207127,79838,25102,700,38416,1469,936,10017,50649
3663000,16000US3663000,Rochester city,"Rochester city, New York",ny,36,63000,206848,75908,77806,509,6195,23,648,6110,39649
636000,16000US0636000,Huntington Beach city,"Huntington Beach city, California",ca,6,36000,200259,123099,2667,799,23972,771,697,7850,40404
630000,16000US0630000,Glendale city,"Glendale city, California",ca,6,30000,200232,123553,3505,201,32040,221,197,5504,35011
3684000,16000US3684000,Yonkers city,"Yonkers city, New York",ny,36,84000,199968,73317,32282,370,12671,61,1594,3074,76599
1703012,16000US1703012,Aurora city,"Aurora city, Illinois",il,17,3012,199927,71202,19778,211,17576,215,239,3980,86726
