CBSAFP,CBSA_NM,rank_pop_size,top_100
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",1,1
31100,"Los Angeles-Long Beach-Santa Ana, CA Metro Area",2,1
16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",3,1
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",4,1
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5,1
26420,"Houston-Sugar Land-Baytown, TX Metro Area",6,1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",7,1
33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",8,1
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",9,1
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",10,1
41860,"San Francisco-Oakland-Fremont, CA Metro Area",11,1
19820,"Detroit-Warren-Livonia, MI Metro Area",12,1
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",13,1
38060,"Phoenix-Mesa-Glendale, AZ Metro Area",14,1
42660,"Seattle-Tacoma-Bellevue, WA Metro Area",15,1
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",16,1
41740,"San Diego-Carlsbad-San Marcos, CA Metro Area",17,1
41180,"St. Louis, MO-IL Metro Area",18,1
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",19,1
12580,"Baltimore-Towson, MD Metro Area",20,1
19740,"Denver-Aurora-Broomfield, CO Metro Area",21,1
41980,"San Juan-Caguas-Guaynabo, PR Metro Area",22,1
38300,"Pittsburgh, PA Metro Area",23,1
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",24,1
40900,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",25,1
41700,"San Antonio-New Braunfels, TX Metro Area",26,1
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",27,1
17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",28,1
17460,"Cleveland-Elyria-Mentor, OH Metro Area",29,1
28140,"Kansas City, MO-KS Metro Area",30,1
